0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
0,0,0,39,47,115,115,136,154,162,230,230,251,269,277,345,345,366,384,392,460,460,481,499,507,575,575,596,614,
